"word";"in documents";"total"
"ahead_arbitr_tribun";1.0;1.0
"ahead_destroy";1.0;1.0
"ahead_destroy_climat";1.0;1.0
"ahead_juli";1.0;1.0
"ahead_juli_rule";1.0;1.0
"ahead_west";1.0;1.0
"ahead_west_case";1.0;1.0
"aiib_aiib";1.0;1.0
"aiib_aiib_describ";1.0;1.0
"aiib_describ";1.0;1.0
"aiib_describ_modern";1.0;1.0
"aim_pragmat";1.0;1.0
"aim_pragmat_posit";1.0;1.0
"aim_soft";1.0;1.0
"aim_soft_land";1.0;1.0
"air_base";1.0;1.0
"air_base_asia";1.0;1.0
"air_defens";3.0;3.0
"air_defens_identif";3.0;3.0
"air_forc";2.0;2.0
"air_forc_clark";1.0;1.0
"air_forc_northern";1.0;1.0
"air_sea";1.0;1.0
"air_sea_search";1.0;1.0
"air_support";1.0;1.0
"air_support_asg";1.0;1.0
"aircraft_carrier";1.0;1.0
"aircraft_carrier_sea";1.0;1.0
"aircraft_warship";1.0;1.0
"aircraft_warship_countri";1.0;1.0
"airstrip_hospit";1.0;1.0
"airstrip_hospit_build";1.0;1.0
"al_fitr";1.0;1.0
"al_fitr_feast";1.0;1.0
"alarm_khan";1.0;1.0
"alarm_khan_point";1.0;1.0
"albarka_broke";1.0;1.0
"albarka_broke_wednesday";1.0;1.0
"alberto_encomienda";2.0;2.0
"alberto_encomienda_former";2.0;2.0
"alessandra_cardon";1.0;1.0
"alessandra_cardon_forthcom";1.0;1.0
"alleg_drug";1.0;1.0
"alleg_drug_dealer";1.0;1.0
"alleg_involv";1.0;1.0
"alleg_involv_illeg";1.0;1.0
"alleg_misus";1.0;1.0
"alleg_misus_p";1.0;1.0
"alleg_protector";1.0;1.0
"alleg_protector_illeg";1.0;1.0
"alli_armi";1.0;1.0
"alli_armi_chief";1.0;1.0
"alli_friend";1.0;1.0
"alli_friend_cultur";1.0;1.0
"alli_philippin";1.0;1.0
"alli_philippin_interf";1.0;1.0
"alli_region";1.0;1.0
"alli_region_s";1.0;1.0
"allianc_countri";1.0;1.0
"allianc_countri_kenney";1.0;1.0
"allianc_kenney";1.0;1.0
"allianc_kenney_told";1.0;1.0
"allianc_know";1.0;1.0
"allianc_know_obvious";1.0;1.0
"alloc_year";1.0;1.0
"alloc_year_s";1.0;1.0
"allow_athlet";1.0;1.0
"allow_athlet_coach";1.0;1.0
"allow_china";1.0;1.0
"allow_china_explicit";1.0;1.0
"allow_disput";1.0;1.0
"allow_disput_affect";1.0;1.0
"allow_faraway";1.0;1.0
"allow_faraway_superpow";1.0;1.0
"allow_govern";1.0;1.0
"allow_govern_employe";1.0;1.0
"allow_member";1.0;1.0
"allow_member_philippin";1.0;1.0
"allow_urg";1.0;1.0
"allow_urg_athlet";1.0;1.0
"alumus_san";1.0;1.0
"alumus_san_beda";1.0;1.0
"ambassador_name";1.0;1.0
"ambassador_name_remind";1.0;1.0
"ambassador_philippin";1.0;1.0
"ambassador_philippin_arriv";1.0;1.0
"ambassador_reach";1.0;1.0
"ambassador_reach_apex";1.0;1.0
"ambassador_unit";1.0;1.0
"ambassador_unit_state";1.0;1.0
"ambit_arbitr";1.0;1.0
"ambit_arbitr_escal";1.0;1.0
"ambush_group";1.0;1.0
"ambush_group_abu";1.0;1.0
"america_america";1.0;1.0
"america_america_import";1.0;1.0
"america_import";1.0;1.0
"america_import_terror";1.0;1.0
"america_line";1.0;1.0
"america_line_intend";1.0;1.0
"america_s";1.0;1.0
"america_s_free";1.0;1.0
"amnesti_lay";1.0;1.0
"amnesti_lay_arm";1.0;1.0
"amnesti_leftist";1.0;1.0
"amnesti_leftist_rebel";1.0;1.0
"amount_million";1.0;1.0
"amount_million_u";1.0;1.0
"ampl_exampl";1.0;1.0
"ampl_exampl_incid";1.0;1.0
"analyst_cel";1.0;1.0
"analyst_cel_cainglet";1.0;1.0
"analyst_said";2.0;3.0
"analyst_said_key";1.0;1.0
"analyst_said_note";1.0;1.0
"analyst_said_wednesday";1.0;1.0
"analyz_object";1.0;1.0
"analyz_object_philippin";1.0;1.0
"anc_interview";1.0;1.0
"anc_interview_react";1.0;1.0
"ancient_book";1.0;1.0
"ancient_book_navig";1.0;1.0
"ancient_countri";1.0;1.0
"ancient_countri_south";1.0;1.0
"ancient_guid";1.0;1.0
"ancient_guid_navig";1.0;1.0
"ancient_navig";1.0;1.0
"ancient_navig_guid";1.0;1.0
"andanar_posit";1.0;1.0
"andanar_posit_sign";1.0;1.0
"andanar_said";1.0;1.0
"andanar_said_peopl";1.0;1.0
"anniversari_communist";1.0;1.0
"anniversari_communist_parti";1.0;1.0
"anniversari_philippin";2.0;2.0
"anniversari_philippin_air";2.0;2.0
"announc_award";1.0;1.0
"announc_award_tuesday";1.0;1.0
"announc_came";1.0;1.0
"announc_came_arbitr";1.0;1.0
"announc_doubl";1.0;1.0
"announc_doubl_allow";1.0;1.0
"announc_final";1.0;1.0
"announc_final_decis";1.0;1.0
"announc_juli";1.0;1.0
"announc_juli_decis";1.0;1.0
"announc_rais";1.0;1.0
"announc_rais_allow";1.0;1.0
"announc_tuesday";1.0;1.0
"announc_tuesday_perman";1.0;1.0
"annual_combat";1.0;1.0
"annual_combat_drill";1.0;1.0
"annual_incid";1.0;1.0
"annual_incid_lawfar";1.0;1.0
"annul_crimin";1.0;1.0
"annul_crimin_case";1.0;1.0
"ano_said";1.0;1.0
"ano_said_goal";1.0;1.0
"answer_lender";1.0;1.0
"answer_lender_world";1.0;1.0
"anti_graft";1.0;1.0
"anti_graft_court";1.0;1.0
"anti_ship";1.0;1.0
"anti_ship_missil";1.0;1.0
"anti_terror";1.0;1.0
"anti_terror_inform";1.0;1.0
"apex_spew";1.0;1.0
"apex_spew_lot";1.0;1.0
"appeal_parti";1.0;1.0
"appeal_parti_exercis";1.0;1.0
"appli_parti";1.0;1.0
"appli_parti_agre";1.0;1.0
"appli_philippin";1.0;1.0
"appli_philippin_disput";1.0;1.0
"applic_philippin";1.0;1.0
"applic_philippin_disput";1.0;1.0
"applic_return";1.0;1.0
"applic_return_bilater";1.0;1.0
"applic_u";1.0;1.0
"applic_u_n";1.0;1.0
"appoint_presid";1.0;1.0
"appoint_presid_leni";1.0;1.0
"appoint_robredo";1.0;1.0
"appoint_robredo_leader";1.0;1.0
"appoint_said";1.0;1.0
"appoint_said_serv";1.0;1.0
"appreci_side";1.0;1.0
"appreci_side_tend";1.0;1.0
"approach_constant";1.0;1.0
"approach_constant_emphas";1.0;1.0
"approach_explor";1.0;1.0
"approach_explor_way";1.0;1.0
"approach_ignor";1.0;1.0
"approach_ignor_asean";1.0;1.0
"approach_initi";1.0;1.0
"approach_initi_propos";1.0;1.0
"approach_known";1.0;1.0
"approach_known_tba";1.0;1.0
"approach_maintain";1.0;1.0
"approach_maintain_peac";1.0;1.0
"approach_origin";1.0;1.0
"approach_origin_thought";1.0;1.0
"approach_philippin";1.0;1.0
"approach_philippin_presid";1.0;1.0
"approach_pragmat";1.0;1.0
"approach_pragmat_manag";1.0;1.0
"approach_south";1.0;1.0
"approach_south_china";1.0;1.0
"appropri_find";1.0;1.0
"appropri_find_balanc";1.0;1.0
"approv_await";1.0;1.0
"approv_await_implement";1.0;1.0
"approv_coal";1.0;1.0
"approv_coal_fire";1.0;1.0
"approv_interest";1.0;1.0
"approv_interest_philippin";1.0;1.0
"approv_loan";1.0;1.0
"approv_loan_philippin";1.0;1.0
"approv_presid";1.0;1.0
"approv_presid_rodrigo";1.0;1.0
"approv_rate";1.0;1.0
"approv_rate_independ";1.0;1.0
"april_south";1.0;1.0
"april_south_china";1.0;1.0
"april_thousand";1.0;1.0
"april_thousand_u";1.0;1.0
"aquino_administr";2.0;2.0
"aquino_administr_grant";1.0;1.0
"aquino_administr_return";1.0;1.0
"aquino_becom";1.0;1.0
"aquino_becom_figur";1.0;1.0
"aquino_govern";1.0;1.0
"aquino_govern_s";1.0;1.0
"aquino_iii";15.0;18.0
"aquino_iii_administr";1.0;1.0
"aquino_iii_bring";1.0;1.0
"aquino_iii_china";1.0;1.0
"aquino_iii_cpp";1.0;1.0
"aquino_iii_file";2.0;3.0
"aquino_iii_ignor";1.0;1.0
"aquino_iii_initi";1.0;1.0
"aquino_iii_lead";1.0;1.0
"aquino_iii_made";2.0;2.0
"aquino_iii_mindset";1.0;1.0
"aquino_iii_philippin";1.0;1.0
"aquino_iii_rais";1.0;1.0
"aquino_iii_s";1.0;1.0
"aquino_iii_sour";1.0;1.0
"aquino_iii_term";1.0;1.0
"arbitr_ad";1.0;1.0
"arbitr_ad_oh";1.0;1.0
"arbitr_applic";1.0;1.0
"arbitr_applic_return";1.0;1.0
"arbitr_award";2.0;2.0
"arbitr_award_china";1.0;1.0
"arbitr_award_foreign";1.0;1.0
"arbitr_bad";1.0;1.0
"arbitr_bad_idea";1.0;1.0
"arbitr_breach";1.0;1.0
"arbitr_breach_intern";1.0;1.0
"arbitr_came";1.0;1.0
"arbitr_came_end";1.0;1.0
"arbitr_case";7.0;9.0
"arbitr_case_china";1.0;1.0
"arbitr_case_file";1.0;1.0
"arbitr_case_full";1.0;1.0
