"word";"in documents";"total"
"agre_arrang";2.0;2.0
"agre_arrang_enhanc";2.0;2.0
"agre_bilater";2.0;4.0
"agre_bilater_defens";2.0;2.0
"agre_bilater_econom";2.0;2.0
"agre_continu";3.0;4.0
"agre_continu_discuss";3.0;4.0
"agre_cooper";2.0;2.0
"agre_cooper_emerg";2.0;2.0
"agre_encourag";2.0;2.0
"agre_encourag_mutual";2.0;2.0
"agre_enhanc";4.0;4.0
"agre_enhanc_cooper";2.0;2.0
"agre_enhanc_exchang";2.0;2.0
"agre_establish";2.0;4.0
"agre_establish_diplomat";2.0;2.0
"agre_establish_oper";2.0;2.0
"agre_exchang";2.0;2.0
"agre_exchang_practic";2.0;2.0
"agre_explor";2.0;2.0
"agre_explor_area";2.0;2.0
"agre_focus";1.0;1.0
"agre_focus_cooper";1.0;1.0
"agre_implement";2.0;2.0
"agre_implement_china";2.0;2.0
"agre_improv";1.0;1.0
"agre_improv_bilater";1.0;1.0
"agre_includ";2.0;2.0
"agre_includ_loan";2.0;2.0
"agre_infrastructur";2.0;2.0
"agre_infrastructur_cooper";2.0;2.0
"agre_mileston";2.0;2.0
"agre_mileston_visit";2.0;2.0
"agre_mutual";2.0;2.0
"agre_mutual_understand";2.0;2.0
"agre_resum";2.0;2.0
"agre_resum_foreign";2.0;2.0
"agre_set";2.0;2.0
"agre_set_goal";2.0;2.0
"agre_shelv";1.0;1.0
"agre_shelv_differ";1.0;1.0
"agre_strengthen";2.0;2.0
"agre_strengthen_cooper";2.0;2.0
"agreement_allow";1.0;1.0
"agreement_allow_u";1.0;1.0
"agreement_breed";1.0;1.0
"agreement_breed_sexual";1.0;1.0
"agreement_citi";2.0;2.0
"agreement_citi_provinc";2.0;2.0
"agreement_dutert";1.0;1.0
"agreement_dutert_s";1.0;1.0
"agreement_econom";2.0;2.0
"agreement_econom_technic";2.0;2.0
"agreement_enhanc";1.0;1.0
"agreement_enhanc_defenc";1.0;1.0
"agreement_ink";1.0;1.0
"agreement_ink_unit";1.0;1.0
"agreement_memoranda";2.0;2.0
"agreement_memoranda_understand";2.0;2.0
"agreement_mous";2.0;2.0
"agreement_mous_area";2.0;2.0
"agreement_philippin";2.0;2.0
"agreement_philippin_china";2.0;2.0
"agreement_sign";2.0;2.0
"agreement_sign_achiev";1.0;1.0
"agreement_sign_time";1.0;1.0
"agreement_state";2.0;2.0
"agreement_state_council";2.0;2.0
"agreement_step";1.0;1.0
"agreement_step_cooper";1.0;1.0
"agreement_transfer";2.0;2.0
"agreement_transfer_sentenc";2.0;2.0
"agreement_u";2.0;4.0
"agreement_u_s";2.0;4.0
"agreement_unit";2.0;2.0
"agreement_unit_state";2.0;2.0
"agreement_washington";1.0;1.0
"agreement_washington_grant";1.0;1.0
"agricultur_busi";1.0;1.0
"agricultur_busi_japanes";1.0;1.0
"agricultur_cooper";2.0;2.0
"agricultur_cooper_ministri";2.0;2.0
"agricultur_fisheri";2.0;2.0
"agricultur_fisheri_industri";2.0;2.0
"agricultur_infrastructur";2.0;2.0
"agricultur_infrastructur_agricultur";2.0;2.0
"agricultur_joint";2.0;2.0
"agricultur_joint_committe";2.0;2.0
"agricultur_machineri";2.0;2.0
"agricultur_machineri_further";2.0;2.0
"agricultur_particular";2.0;2.0
"agricultur_particular_area";2.0;2.0
"agricultur_peopl";2.0;2.0
"agricultur_peopl_s";2.0;2.0
"agricultur_product";1.0;1.0
"agricultur_product_enter";1.0;1.0
"agricultur_republ";2.0;4.0
"agricultur_republ_philippin";2.0;4.0
"agricultur_technic";2.0;2.0
"agricultur_technic_profession";2.0;2.0
"agricultur_technolog";2.0;4.0
"agricultur_technolog_infrastructur";2.0;2.0
"agricultur_technolog_mutual";2.0;2.0
"agricultur_trade";2.0;2.0
"agricultur_trade_iii";2.0;2.0
"ahead_bilater";1.0;1.0
"ahead_bilater_defens";1.0;1.0
"ahead_bureau";1.0;1.0
"ahead_bureau_royal";1.0;1.0
"ahead_schedul";1.0;1.0
"ahead_schedul_close";1.0;1.0
"ahead_side";2.0;2.0
"ahead_side_affirm";2.0;2.0
"ahead_visit";1.0;1.0
"ahead_visit_philippin";1.0;1.0
"aid_fight";2.0;2.0
"aid_fight_illicit";2.0;2.0
"aid_invest";1.0;1.0
"aid_invest_especi";1.0;1.0
"aiib_multilater";2.0;2.0
"aiib_multilater_region";2.0;2.0
"aileen_baviera";1.0;1.0
"aileen_baviera_professor";1.0;1.0
"ailment_year";1.0;1.0
"aim_develop";1.0;1.0
"aim_develop_closer";1.0;1.0
"aim_tripl";1.0;1.0
"aim_tripl_capita";1.0;1.0
"air_condit";1.0;1.0
"air_condit_mausoleum";1.0;1.0
"air_forc";1.0;1.0
"air_forc_said";1.0;1.0
"air_land";1.0;1.0
"air_land_sea";1.0;1.0
"air_servic";3.0;3.0
"air_servic_encourag";2.0;2.0
"air_servic_remain";1.0;1.0
"airlin_flight";2.0;2.0
"airlin_flight_philippin";2.0;2.0
"airport_leav";1.0;1.0
"airport_leav_tokyo";1.0;1.0
"airport_met";1.0;1.0
"airport_met_peopl";1.0;1.0
"akihito_imperi";1.0;1.0
"akihito_imperi_palac";1.0;1.0
"akihito_japan";1.0;1.0
"akihito_japan_dfa";1.0;1.0
"aliv_group";1.0;1.0
"aliv_group_malaya";1.0;1.0
"allevi_peacekeep";2.0;2.0
"allevi_peacekeep_oper";2.0;2.0
"allevi_share";2.0;2.0
"allevi_share_aspir";2.0;2.0
"alli_area";1.0;1.0
"alli_area_concern";1.0;1.0
"alli_asia";1.0;1.0
"alli_asia_pacif";1.0;1.0
