"word";"in documents";"total"
"keqiang";3.0;3.0
"khovaev";1.0;3.0
"kill";2.0;8.0
"kind";1.0;2.0
"king";1.0;4.0
"know";6.0;8.0
"kowtow";1.0;1.0
"laboratori";2.0;2.0
"labour";1.0;1.0
"lack";1.0;1.0
"laid";1.0;1.0
"lament";1.0;1.0
"land";2.0;2.0
"landscap";1.0;1.0
"lane";1.0;1.0
"larg";1.0;1.0
"largest";1.0;1.0
"lash";1.0;1.0
"last";1.0;1.0
"late";4.0;4.0
"launch";1.0;1.0
"laur";1.0;1.0
"leader";14.0;24.0
"leagu";1.0;1.0
"learn";1.0;1.0
"leash";1.0;1.0
"leav";3.0;3.0
"legisl";3.0;3.0
"legitim";2.0;2.0
"level";4.0;7.0
"leverag";2.0;2.0
"light";3.0;3.0
"like";1.0;1.0
"lila";1.0;3.0
"line";2.0;2.0
"link";1.0;1.0
"list";4.0;8.0
"live";5.0;7.0
"loan";4.0;8.0
"lobbi";1.0;1.0
"local";6.0;9.0
"locat";1.0;1.0
"lola";1.0;1.0
"longer";1.0;1.0
"longest";1.0;1.0
"look";8.0;10.0
"lorenazana";1.0;1.0
"lorenzana";2.0;4.0
"lulli";1.0;1.0
"machineri";2.0;2.0
"made";11.0;12.0
"magsaysay";2.0;2.0
"maha";1.0;1.0
"main";1.0;1.0
"maintain";5.0;6.0
"majesti";1.0;1.0
"major";7.0;8.0
"make";15.0;20.0
"malacanang";5.0;5.0
"malaya";2.0;2.0
"malaysian";1.0;1.0
"manag";3.0;3.0
"mango";2.0;2.0
"manila";14.0;22.0
"mankind";1.0;1.0
"manner";3.0;3.0
"marco";1.0;10.0
"marcos";1.0;1.0
"mari";1.0;1.0
"marin";3.0;3.0
"maritim";7.0;10.0
"mark";2.0;2.0
"market";3.0;3.0
"mathemat";2.0;2.0
"matter";4.0;4.0
"mausoleum";1.0;1.0
"mayb";2.0;2.0
"mayor";2.0;2.0
"mean";5.0;8.0
"meaning";2.0;2.0
"meaningless";1.0;1.0
"measur";2.0;2.0
"mechan";3.0;10.0
"media";4.0;12.0
"medialdea";1.0;1.0
"medium";1.0;1.0
"medvedev";1.0;2.0
"meet";16.0;26.0
"mega";2.0;2.0
"member";2.0;2.0
"memoranda";2.0;2.0
"memorandum";3.0;22.0
"menac";1.0;1.0
"mental";1.0;1.0
